Mastra,,,TÆLLING : UGEOVERSIGT,,,,,,,,,,,,Udskr.,05.04.2022 12:06,,,,,
,,,Tidsinterval: 60min.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Målested,10133322,,"Jagtvej 163, 2100 Kbh. Ø",,,,,,,,,,,,,,,,,,
Bestyrer,101,,København,,,,,,,,,,,,,,,,,,
Vej,1013332-0,,Jagtvej,,,,,,,,,,,,,,,,,,
Lokalitet,2/280,,Jagtvej ud for nr. 163,,,,,,,,,,,,,,,,,,
RetningSpor,T,,Samlet trafik,,,,,,,,,,,,,,,,,,
Køretøjsart,MOTORKTJ,,Motorkøretøjer,,,,,,,,,,,,,,,,,,
Periode,01.01-10.01.2021,,(660-spln),,,,,,,,,,,,,,,,,,
Kommentar,,,AT33,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,* markerede dage er helligdage,,,,,,,,,,,,,,,,,,
Ugenr.,53,,,,,,,01,,,,,,,Hverdag,,,,,,
Ugedag,Man,Tir,Ons,Tor,Fre,Lør,Søn,Man,Tir,Ons,Tor,Fre,Lør,Søn,gns.,,,,,,
Ugenr.,08,,,,,,,09,,,,,,,Hverdag,,,,,,
Ugedag,Man,Tir,Ons,Tor,Fre,Lør,Søn,Man,Tir,Ons,Tor,Fre,Lør,Søn,gns.,,,,,,
Tid\Dato,22/02,23/02,24/02,25/02,26/02,27/02,28/02,01/03,02/03,03/03,04/03,05/03,06/03,07/03,talt,,,,,,
00:00 - 01:00,101,132,134,161,126,331,317,99,80,105,128,124,350,364,119,,,,,,
01:00 - 02:00,61,77,82,93,67,249,223,53,60,69,55,56,210,186,67,,,,,,
02:00 - 03:00,42,30,60,53,54,189,146,41,37,32,45,53,195,181,45,,,,,,
03:00 - 04:00,34,37,42,36,42,127,112,32,38,33,25,35,147,138,35,,,,,,
04:00 - 05:00,28,51,51,49,43,94,87,56,50,78,40,65,105,110,51,,,,,,
05:00 - 06:00,219,222,212,211,227,86,86,206,213,198,202,215,89,81,213,,,,,,
06:00 - 07:00,641,622,649,648,613,172,156,642,634,634,646,598,132,118,633,,,,,,
07:00 - 08:00,1,1,1,1,1,244,173,1,1,1,1,1,245,166,1,,,,,,
08:00 - 09:00,1,1,1,1,1,456,337,1,1,1,1,1,405,312,1,,,,,,
09:00 - 10:00,1,1,1,1,1,773,626,1,1,1,1,1,757,667,1,,,,,,
10:00 - 11:00,1,1,1,1,1,1,889,1,1,1,1,1,1,875,1,,,,,,
11:00 - 12:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
12:00 - 13:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
13:00 - 14:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
14:00 - 15:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
15:00 - 16:00,1,1,2,2,2,1,1,2,2,2,2,2,1,1,2,,,,,,
16:00 - 17:00,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,,,,,,
17:00 - 18:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
18:00 - 19:00,903,940,939,1,1,937,997,1,974,1,1,1,990,930,1,,,,,,
19:00 - 20:00,721,708,717,704,714,723,716,747,789,791,801,706,692,733,740,,,,,,
20:00 - 21:00,611,610,646,631,598,549,659,630,642,549,699,570,533,645,619,,,,,,
21:00 - 22:00,475,533,599,541,520,632,545,485,518,569,575,536,467,563,535,,,,,,
22:00 - 23:00,364,424,443,391,549,511,400,342,391,412,456,449,511,363,422,,,,,,
23:00 - 24:00,207,264,270,262,416,380,180,160,207,209,226,398,495,184,262,,,,,,
I alt,18,19,19,19,20,16,16,19,19,19,20,20,16,16,19,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Mastra,,,TÆLLING : UGEOVERSIGT,,,,,,,,,,,,Udskr.,05.04.2022 12:06,,,,,
,,,Tidsinterval: 60min.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Målested,10133322,,"Jagtvej 163, 2100 Kbh. Ø",,,,,,,,,,,,,,,,,,
Bestyrer,101,,København,,,,,,,,,,,,,,,,,,
Vej,1013332-0,,Jagtvej,,,,,,,,,,,,,,,,,,
Lokalitet,2/280,,Jagtvej ud for nr. 163,,,,,,,,,,,,,,,,,,
RetningSpor,T,,Samlet trafik,,,,,,,,,,,,,,,,,,
Køretøjsart,MOTORKTJ,,Motorkøretøjer,,,,,,,,,,,,,,,,,,
Periode,08.03-21.03.2021,,(660-spln),,,,,,,,,,,,,,,,,,
Kommentar,,,AT33,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,* markerede dage er helligdage,,,,,,,,,,,,,,,,,,
Ugenr.,10,,,,,,,11,,,,,,,Hverdag,,,,,,
Ugedag,Man,Tir,Ons,Tor,Fre,Lør,Søn,Man,Tir,Ons,Tor,Fre,Lør,Søn,gns.,,,,,,
Tid\Dato,08/03,09/03,10/03,11/03,12/03,13/03,14/03,15/03,16/03,17/03,18/03,19/03,20/03,21/03,talt,,,,,,
00:00 - 01:00,91,75,86,102,100,287,309,80,87,99,112,121,326,302,95,,,,,,
01:00 - 02:00,42,31,52,67,55,214,211,41,56,67,61,65,237,259,54,,,,,,
02:00 - 03:00,40,35,38,40,43,150,174,28,46,40,43,39,164,180,39,,,,,,
03:00 - 04:00,26,40,28,43,41,148,139,43,44,31,31,34,156,119,36,,,,,,
04:00 - 05:00,43,41,45,44,40,98,75,47,38,54,52,58,113,83,46,,,,,,
05:00 - 06:00,193,199,171,196,221,72,82,223,200,192,229,201,81,79,203,,,,,,
06:00 - 07:00,678,600,610,614,577,172,119,645,625,705,594,624,172,125,627,,,,,,
07:00 - 08:00,1,1,1,1,1,264,219,1,1,1,1,1,247,179,1,,,,,,
08:00 - 09:00,1,1,1,2,1,386,325,2,1,2,2,1,415,341,1,,,,,,
09:00 - 10:00,1,1,1,1,1,768,653,1,1,1,1,1,806,714,1,,,,,,
10:00 - 11:00,1,1,1,1,1,991,939,1,1,1,1,1,1,1,1,,,,,,
11:00 - 12:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
12:00 - 13:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
13:00 - 14:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
14:00 - 15:00,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,,,,,,
15:00 - 16:00,2,2,1,2,2,1,1,2,2,2,2,2,1,1,2,,,,,,
16:00 - 17:00,2,1,1,2,2,1,1,2,2,2,2,2,1,1,2,,,,,,
17:00 - 18:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
18:00 - 19:00,1,1,1,1,1,870,925,1,1,1,1,1,927,990,1,,,,,,
19:00 - 20:00,741,766,807,722,688,686,688,779,869,808,859,781,658,755,782,,,,,,
20:00 - 21:00,556,638,638,622,539,506,692,630,710,716,679,601,576,697,633,,,,,,
21:00 - 22:00,424,484,567,496,493,494,561,540,534,598,572,532,522,569,524,,,,,,
22:00 - 23:00,296,347,428,428,476,463,371,364,402,364,457,545,544,321,411,,,,,,
23:00 - 24:00,175,183,254,274,387,445,194,187,228,221,227,420,447,165,256,,,,,,
I alt,18,18,19,19,19,15,16,20,20,20,20,21,16,16,19,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Mastra,,,TÆLLING : UGEOVERSIGT,,,,,,,,,,,,Udskr.,05.04.2022 12:06,,,,,
